회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
대림비앤코,005750,"내화, 비내화 요업제품 제조업","위생도기,내장타일,조립식욕실제품 제조,판매/부동산 임대",12/23/1992,12월,강태식,http://www.daelimbnco.com,경상남도
경동제약,011040,의약품 제조업,"듀오로반정, 발디핀정, 아트로반정 등",12/18/1992,12월,류기성,http://www.kdpharma.co.kr,경기도
원풍,008370,플라스틱제품 제조업,플라스틱 필름,12/18/1992,12월,윤 기 로,http://www.wonpoong.co.kr,서울특별시
네이처셀,007390,기초 의약물질 및 생물학적 제제 제조업,닥터쥬크르,11/30/1992,12월,라정찬,http://www.naturecell.co.kr,서울특별시
삼일기업공사,002290,건물 건설업,도급공사,11/30/1992,12월,박종웅,http://www.samilenter.com,서울특별시
일지테크,019540,자동차 신품 부품 제조업,"차체(라지에타, 팩케이지, 씨트 크로스, 대쉬 판넬)",11/3/1992,12월,"구본일,구준모(각자대표)",http://www.iljitech.co.kr,경상북도
한일화학,007770,기초 화학물질 제조업,산화아연,9/7/1992,12월,대표이사 사장 윤성진,http://www.hanzinc.com,충청남도
한국알콜,017890,기타 화학제품 제조업,주정,8/4/1992,12월,"지용석, 김정수, 주성호",http://www.ka.co.kr,경기도
대주산업,003310,동물용 사료 및 조제식품 제조업,배합사료,8/1/1992,12월,정석원,http://www.daejooind.co.kr,서울특별시
글로본,019660,상품 종합 도매업,화장품 외,6/4/1992,12월,한상호,http://www.globon.co.kr,서울특별시
대한해운,005880,해상 운송업,"외항화물운송,국제해운대리점",4/23/1992,12월,김만태,http://www.korealines.co.kr,서울특별시
메리츠증권,008560,금융 지원 서비스업,"유가증권의 위탁매매,자기매매,인수공모주선업무",1/15/1992,12월,최희문,http://www.imeritz.com,서울특별시
세명전기,017510,기타 금속 가공제품 제조업,"154kV, 345kV, 765kV 송전,변전,배전용 금구류, 섬유직기용 섹셔날 빔",12/26/1991,12월,"권재기, 권철현",http://www.semyung-elec.com,부산광역시
휴니드테크놀러지스,005870,통신 및 방송 장비 제조업,"무선통신기기,군납용무전기,위성방송수신기 제조",9/3/1991,12월,신종석,http://www.huneed.com,인천광역시
수산중공업,017550,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",8/30/1991,12월,"김병현, 정석현(각자 대표이사)",http://www.soosan.co.kr,경기도
에이티넘인베스트,021080,신탁업 및 집합투자업,벤처캐피탈,7/12/1991,12월,"신기천, 이승용(각자대표)",http://www.hanmivc.co.kr,서울특별시
롯데케미칼,011170,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",5/30/1991,12월,"신동빈,김교현,이영준,황진구",http://www.lottechem.com,서울특별시
대동기어,008830,특수 목적용 기계 제조업,"기어, 베벨기어, 축, 엑셀, T/M, 유성감속기, 기타조립품",5/17/1991,12월,강경규,http://www.daedonggear.com,경상남도
세아베스틸,001430,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",3/12/1991,12월,김철희,http://www.seahbesteel.co.kr,서울특별시
호텔신라,008770,기타 상품 전문 소매업,"면세판매,관광숙박,외식사업,예식업",3/12/1991,12월,이부진,http://www.hotelshilla.net,서울특별시
태경비케이,014580,"시멘트, 석회, 플라스터 및 그 제품 제조업","생석회,소석회,석회비료 제조,판매/비금속광물 광업/산업폐기물 재생처리/휴게소 운영",3/7/1991,12월,"김민정,정구일 (각자 대표이사)",http://www.bkmp.co.kr,서울특별시
화승코퍼레이션,013520,자동차 신품 부품 제조업,"산업용 고무제품(호스시트,벨트,펜더 등) 제조, 판매",2/22/1991,12월,"허성룡,현지호",http://www.hscorp.com,부산광역시
신흥,004080,기계장비 및 관련 물품 도매업,"치과용기자재(방사선장치,전기진단장치),주사침 도소매,제조/부동산 임대",2/8/1991,12월,이용익,http://www.shinhung.co.kr,서울특별시
