,cd,nm
182,006370.KS,대구백화점보통주
183,00806K.KS,대덕1우선주
184,008060.KS,대덕보통주
185,353200.KS,대덕전자보통주
186,35320K.KS,대덕전자우선주
187,000490.KS,대동공업보통주
188,008110.KS,대동전자보통주
189,005750.KS,대림B&Co보통주
190,001880.KS,대림건설보통주
191,006570.KS,대림통상보통주
192,001685.KS,대상1우선주
193,001680.KS,대상보통주
194,084695.KS,대상홀딩스 1우선주
195,084690.KS,대상홀딩스 보통주
196,128820.KS,대성산업보통주
197,117580.KS,대성에너지보통주
198,016710.KS,대성홀딩스보통주
199,003545.KS,대신증권1우선주
200,003547.KS,대신증권2우선주(신형)
201,003540.KS,대신증권보통주
202,009190.KS,대양금속보통주
203,014160.KS,대영포장보통주
204,047040.KS,대우건설보통주
205,009320.KS,대우전자부품보통주
206,042660.KS,대우조선해양보통주
207,003090.KS,대웅보통주
208,069620.KS,대웅제약보통주
209,000430.KS,대원강업보통주
210,006345.KS,대원전선1우선주
211,006340.KS,대원전선보통주
212,003220.KS,대원제약보통주
213,024890.KS,대원화성보통주
214,002880.KS,대유에이텍
215,000300.KS,대유플러스보통주
216,015230.KS,대창단조보통주
217,012800.KS,대창보통주
218,001070.KS,대한방직보통주
219,006650.KS,대한유화보통주
220,001440.KS,대한전선보통주
221,084010.KS,대한제강 보통주
222,001795.KS,대한제당1우선주
223,001790.KS,대한제당보통주
224,001130.KS,대한제분보통주
225,003495.KS,대한항공1우선주
226,003490.KS,대한항공보통주
227,005880.KS,대한해운보통주
228,003830.KS,대한화섬보통주
229,016090.KS,대현보통주
230,069460.KS,대호에이엘보통주
231,192080.KS,더블유게임즈보통주
232,012510.KS,더존비즈온보통주
233,004835.KS,덕성1우선주
234,004830.KS,덕성보통주
235,024900.KS,덕양산업보통주
236,145720.KS,덴티움보통주
237,002150.KS,도화엔지니어링보통주
238,001230.KS,동국제강보통주
239,004140.KS,동방보통주
240,007590.KS,동방아그로보통주
241,005965.KS,동부건설1우선주
242,005960.KS,동부건설보통주
243,026960.KS,동서보통주
244,002210.KS,동성제약보통주
245,102260.KS,동성코퍼레이션보통주
246,005190.KS,동성화학보통주
247,000640.KS,동아쏘시오홀딩스보통주
248,170900.KS,동아에스티보통주
